Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-05,123.43,126.25,122.31,125.84,2163572.0,0.0,1.0,120.16159681612,122.90692374654,119.07125420546,122.50778046942,2163572.0
2016-01-06,125.24,125.54,119.94,119.98,2386461.0,0.0,1.0,121.92366835656,122.21572441299,116.76401135968,116.8029521672,2386461.0
2016-01-07,116.38,119.74,114.93,114.95,2489451.0,0.0,1.0,113.29827949007,116.56930732206,111.88667521734,111.9061456211,2489451.0
2016-01-08,115.48,117.44,113.5,116.62,2006267.0,0.0,1.0,112.42211132079,114.33021088945,110.49454134837,113.53192433522,2006267.0
2016-01-11,117.01,117.33,114.09,114.97,1408550.0,0.0,1.0,113.91159720857,114.22312366876,111.06891825935,111.92561602487,1408550.0
2016-01-12,115.51,116.06,114.5,115.55,1098024.0,0.0,1.0,112.45131692643,112.98675302989,111.46806153646,112.49025773396,1098024.0
2016-01-13,116.46,117.065,112.59,112.85,949576.0,0.0,1.0,113.37616110512,113.96514081892,109.60863797721,109.86175322611,949576.0
2016-01-14,113.51,115.03,110.05,114.38,785469.0,0.0,1.0,110.50427655025,111.98402723615,107.13589669946,111.35123911389,785469.0
2016-01-15,113.33,114.88,111.92,112.53,1093741.0,0.0,1.0,110.3290429164,111.83799920794,108.95637945119,109.55022676592,1093741.0
2016-01-19,113.66,115.87,109.87,110.38,1523527.0,0.0,1.0,110.65030457847,112.80178419415,106.9606630656,107.45715836153,1523527.0
2016-01-20,109.06,111.6,108.32,109.3,1654181.0,0.0,1.0,106.17211171325,108.644852991,105.45170677406,106.40575655839,1654181.0
2016-01-21,109.73,110.58,108.315,110.0,944335.0,0.0,1.0,106.82437023927,107.65186239914,105.44683917312,107.08722069005,944335.0
2016-01-22,111.88,112.949,110.19,111.95,745066.0,0.0,1.0,108.91743864366,109.95813172473,107.27218952579,108.98558505683,745066.0
